distance_to_player,boss_health_pct,player_health_pct,is_phase2,can_use_laser,time_since_last_attack,action
47.37,1.000,1.000,0,1,999.00,Idle
1.72,1.000,1.000,0,1,999.00,Attack
2.51,0.500,0.600,1,0,1.69,Combo
5.44,0.500,0.600,1,1,2.30,Attack
1.81,0.500,0.600,1,0,5.80,Combo
4.87,0.500,0.600,1,1,6.41,Attack
1.76,0.400,0.200,1,0,3.66,Combo
2.33,0.400,0.200,1,1,4.27,Attack
47.37,1.000,1.000,0,1,999.00,Idle
1.57,1.000,1.000,0,1,999.00,Attack
2.10,0.300,0.800,1,0,5.26,Combo
6.21,0.300,0.800,1,1,5.88,Attack
47.37,1.000,1.000,0,1,999.00,Idle
1.57,1.000,1.000,0,1,999.00,Attack
2.10,0.300,0.800,1,0,5.26,Combo
6.21,0.300,0.800,1,1,5.88,Attack
1.89,0.300,0.800,1,0,15.60,Combo
47.37,1.000,1.000,0,1,999.00,Idle
1.57,1.000,1.000,0,1,999.00,Attack
2.10,0.300,0.800,1,0,5.26,Combo
6.21,0.300,0.800,1,1,5.88,Attack
1.89,0.300,0.800,1,0,15.60,Combo
