distance_to_player,boss_health_pct,player_health_pct,is_phase2,can_use_laser,time_since_last_attack,action
47.37,1.000,1.000,0,1,999.00,Idle
1.49,1.000,1.000,0,1,999.00,Attack
2.97,0.900,1.000,0,0,999.00,Idle
1.68,0.900,1.000,0,0,999.00,Attack
3.79,0.800,1.000,0,0,999.00,Idle
1.77,0.800,1.000,0,0,999.00,Attack
3.40,0.700,1.000,0,0,999.00,Idle
1.75,0.700,1.000,0,0,999.00,Attack
2.45,0.600,0.800,0,0,0.25,Idle
2.56,0.600,0.800,0,0,0.30,Attack
4.93,0.600,0.800,0,0,0.92,Idle
1.61,0.600,0.800,0,0,2.45,Attack
1.59,0.600,0.800,0,0,3.07,Idle
1.65,0.600,0.800,0,0,3.12,Attack
3.95,0.600,0.800,0,0,3.74,Idle
1.64,0.600,0.800,0,0,5.59,Attack
1.85,0.600,0.800,0,0,6.21,Idle
1.82,0.600,0.800,0,0,6.26,Attack
3.39,0.600,0.800,0,0,6.88,Idle
1.60,0.600,0.800,0,0,8.18,Attack
2.03,0.600,0.800,0,0,8.80,Idle
1.62,0.600,0.800,0,0,9.46,Attack
3.84,0.600,0.800,0,0,10.08,Idle
1.73,0.600,0.800,0,0,10.63,Attack
2.00,0.500,0.400,1,0,0.25,Idle
2.10,0.500,0.400,1,0,0.30,Attack
2.95,0.500,0.400,1,0,0.48,Combo
6.00,0.500,0.400,1,1,1.09,Attack
3.21,0.500,0.400,1,0,1.55,Idle
3.45,0.500,0.400,1,0,1.75,Laser
4.29,0.500,0.400,1,0,2.81,Idle
1.82,0.500,0.400,1,0,3.26,Attack
3.54,0.500,0.400,1,0,3.88,Idle
1.61,0.500,0.400,1,0,4.38,Attack
4.99,0.500,0.400,1,0,5.00,Idle
3.78,0.500,0.400,1,0,6.50,Laser
5.28,0.500,0.400,1,0,7.56,Idle
1.62,0.500,0.400,1,0,9.15,Attack
1.96,0.500,0.400,1,0,9.34,Combo
5.03,0.500,0.400,1,1,9.95,Attack
6.58,0.500,0.400,1,1,10.41,Idle
1.91,0.500,0.400,1,1,12.56,Attack
3.13,0.500,0.400,1,0,13.19,Idle
1.75,0.500,0.400,1,0,13.39,Laser
4.88,0.500,0.400,1,0,14.45,Idle
1.59,0.500,0.400,1,0,15.35,Attack
2.28,0.500,0.400,1,0,15.53,Combo
3.05,0.500,0.400,1,1,16.14,Attack
4.12,0.500,0.400,1,1,16.60,Idle
3.62,0.500,0.400,1,0,18.15,Laser
47.37,1.000,1.000,0,1,999.00,Idle
47.37,1.000,1.000,0,1,999.00,Idle
1.81,0.900,1.000,0,0,999.00,Attack
4.80,0.900,1.000,0,0,999.00,Idle
1.62,0.900,1.000,0,0,999.00,Attack
3.10,0.800,1.000,0,0,999.00,Idle
1.63,0.800,1.000,0,0,999.00,Attack
2.22,0.700,0.800,0,0,0.25,Idle
2.28,0.700,0.800,0,0,0.30,Attack
2.57,0.700,0.800,0,0,0.92,Idle
1.49,0.700,0.800,0,0,1.03,Attack
2.84,0.600,0.800,0,0,1.65,Idle
1.58,0.600,0.800,0,0,1.94,Attack
1.81,0.500,0.400,1,0,0.04,Combo
4.77,0.500,0.400,1,1,0.66,Attack
6.46,0.500,0.400,1,0,1.12,Idle
7.35,0.500,0.400,1,0,1.31,Laser
4.78,0.500,0.400,1,0,2.39,Idle
1.61,0.500,0.400,1,0,2.90,Attack
3.41,0.500,0.400,1,0,3.52,Idle
1.73,0.500,0.400,1,0,3.80,Attack
2.77,0.500,0.400,1,0,3.98,Combo
5.97,0.500,0.400,1,1,4.59,Attack
7.33,0.500,0.400,1,0,5.05,Idle
7.56,0.500,0.400,1,0,5.25,Laser
4.55,0.500,0.400,1,0,6.31,Idle
1.58,0.500,0.400,1,0,7.61,Attack
4.94,0.500,0.400,1,0,8.23,Idle
3.29,0.500,0.400,1,0,10.01,Laser
2.20,0.500,0.400,1,0,11.07,Idle
1.75,0.500,0.400,1,0,11.14,Attack
4.48,0.500,0.400,1,0,11.76,Idle
1.70,0.500,0.400,1,0,13.18,Attack
1.94,0.500,0.400,1,0,13.37,Combo
5.98,0.500,0.400,1,1,13.98,Attack
6.46,0.500,0.400,1,1,14.44,Idle
6.67,0.500,0.400,1,0,15.00,Laser
4.86,0.500,0.400,1,0,16.07,Idle
1.64,0.500,0.400,1,0,16.82,Attack
3.48,0.500,0.400,1,0,17.44,Idle
1.70,0.500,0.400,1,0,17.74,Attack
2.67,0.500,0.400,1,0,17.92,Combo
6.08,0.500,0.400,1,1,18.53,Attack
6.96,0.500,0.400,1,1,18.99,Idle
5.43,0.500,0.400,1,0,20.01,Laser
4.56,0.500,0.400,1,0,21.07,Idle
1.62,0.500,0.400,1,0,23.28,Attack
3.78,0.500,0.400,1,0,23.90,Idle
1.63,0.500,0.400,1,0,24.26,Attack
2.00,0.500,0.400,1,0,24.45,Combo
5.26,0.500,0.400,1,1,25.06,Attack
6.29,0.500,0.400,1,0,25.52,Idle
5.20,0.500,0.400,1,0,25.71,Laser
5.04,0.500,0.400,1,0,26.78,Idle
1.94,0.500,0.400,1,0,27.38,Attack
3.10,0.500,0.400,1,0,28.00,Idle
1.65,0.500,0.400,1,0,28.21,Attack
2.60,0.500,0.400,1,0,28.39,Combo
6.02,0.500,0.400,1,1,29.01,Attack
6.56,0.500,0.400,1,1,29.47,Idle
1.67,0.500,0.400,1,1,30.38,Attack
3.40,0.500,0.400,1,1,31.00,Idle
1.69,0.500,0.400,1,1,31.28,Attack
3.80,0.500,0.400,1,0,31.90,Idle
4.41,0.500,0.400,1,0,32.10,Laser
3.98,0.500,0.400,1,0,33.16,Idle
1.67,0.500,0.400,1,0,33.53,Attack
1.56,0.500,0.400,1,0,34.15,Idle
1.45,0.500,0.400,1,0,34.20,Attack
2.23,0.500,0.400,1,0,34.38,Combo
5.96,0.500,0.400,1,1,35.00,Attack
6.58,0.500,0.400,1,1,35.46,Idle
4.33,0.500,0.400,1,0,36.85,Laser
4.21,0.500,0.400,1,0,37.91,Idle
1.76,0.500,0.400,1,0,38.45,Attack
2.66,0.500,0.400,1,0,38.64,Combo
3.06,0.500,0.400,1,1,39.25,Attack
4.06,0.500,0.400,1,0,39.71,Idle
4.73,0.500,0.400,1,0,39.90,Laser
5.77,0.500,0.400,1,0,40.97,Idle
1.55,0.500,0.400,1,0,41.53,Attack
3.51,0.500,0.400,1,0,42.15,Idle
1.73,0.500,0.400,1,0,42.46,Attack
5.26,0.500,0.400,1,0,43.08,Idle
1.85,0.500,0.400,1,0,44.03,Attack
2.79,0.500,0.400,1,0,44.21,Combo
2.43,0.500,0.400,1,1,44.83,Attack
4.21,0.500,0.400,1,1,45.29,Idle
1.59,0.500,0.400,1,1,46.40,Attack
3.80,0.500,0.400,1,0,47.02,Idle
2.85,0.500,0.400,1,0,47.22,Laser
3.80,0.500,0.400,1,0,48.28,Idle
1.63,0.500,0.400,1,0,48.74,Attack
3.55,0.500,0.400,1,0,49.36,Idle
1.74,0.500,0.400,1,0,49.68,Attack
2.81,0.500,0.400,1,0,49.86,Combo
5.92,0.500,0.400,1,1,50.48,Attack
5.84,0.500,0.400,1,1,50.94,Idle
1.61,0.500,0.400,1,1,51.69,Attack
2.58,0.500,0.400,1,0,52.31,Idle
1.30,0.500,0.400,1,0,52.51,Laser
4.32,0.500,0.400,1,0,53.57,Idle
1.59,0.500,0.400,1,0,54.13,Attack
3.52,0.500,0.400,1,0,54.76,Idle
1.65,0.500,0.400,1,0,55.09,Attack
3.48,0.500,0.400,1,0,55.71,Idle
3.61,0.500,0.400,1,0,57.27,Laser
5.40,0.500,0.400,1,0,58.33,Idle
1.61,0.500,0.400,1,0,59.77,Attack
1.99,0.500,0.400,1,0,59.95,Combo
5.05,0.500,0.400,1,1,60.57,Attack
2.86,0.500,0.400,1,0,61.03,Idle
2.36,0.500,0.400,1,0,61.22,Laser
6.93,0.500,0.400,1,0,62.28,Idle
1.86,0.500,0.400,1,0,63.22,Attack
3.21,0.500,0.400,1,0,63.84,Idle
1.64,0.500,0.400,1,0,64.07,Attack
3.66,0.500,0.400,1,0,64.69,Idle
6.59,0.500,0.400,1,0,65.98,Laser
10.51,0.500,0.400,1,0,67.04,Idle
1.64,0.500,0.400,1,0,68.98,Attack
2.09,0.500,0.400,1,0,69.16,Combo
5.10,0.500,0.400,1,1,69.77,Attack
6.65,0.500,0.400,1,0,70.23,Idle
7.05,0.500,0.400,1,0,70.43,Laser
6.81,0.500,0.400,1,0,71.49,Idle
1.78,0.500,0.400,1,0,72.38,Attack
3.29,0.500,0.400,1,0,73.00,Idle
1.64,0.500,0.400,1,0,73.25,Attack
5.16,0.500,0.400,1,0,73.88,Idle
6.12,0.500,0.400,1,0,75.18,Laser
9.29,0.500,0.400,1,0,76.24,Idle
1.65,0.500,0.400,1,0,77.28,Attack
3.40,0.500,0.400,1,0,77.90,Idle
1.71,0.500,0.400,1,0,78.17,Attack
2.68,0.500,0.400,1,0,78.36,Combo
6.09,0.500,0.400,1,1,78.97,Attack
6.97,0.500,0.400,1,1,79.43,Idle
1.64,0.500,0.400,1,1,81.56,Attack
5.06,0.500,0.400,1,1,82.19,Idle
1.93,0.500,0.400,1,1,83.71,Attack
3.11,0.500,0.400,1,1,84.34,Idle
1.66,0.500,0.400,1,1,84.55,Attack
5.20,0.500,0.400,1,0,85.18,Idle
5.23,0.500,0.400,1,0,85.38,Laser
3.64,0.500,0.400,1,0,86.44,Idle
1.61,0.500,0.400,1,0,86.81,Attack
1.94,0.500,0.400,1,0,87.00,Combo
3.64,0.500,0.400,1,1,87.61,Attack
1.20,0.500,0.400,1,1,88.07,Idle
1.27,0.500,0.400,1,1,88.11,Attack
4.56,0.500,0.400,1,0,88.74,Idle
4.13,0.500,0.400,1,0,88.93,Laser
2.12,0.500,0.400,1,0,90.00,Idle
1.74,0.500,0.400,1,0,90.06,Attack
3.79,0.500,0.400,1,0,90.69,Idle
1.59,0.500,0.400,1,0,92.23,Attack
2.09,0.500,0.400,1,0,92.41,Combo
5.90,0.500,0.400,1,1,93.03,Attack
6.56,0.500,0.400,1,1,93.48,Idle
1.71,0.500,0.400,1,1,94.41,Attack
3.32,0.500,0.400,1,1,95.04,Idle
1.69,0.500,0.400,1,1,95.29,Attack
5.23,0.500,0.400,1,0,95.92,Idle
5.06,0.500,0.400,1,0,96.12,Laser
3.07,0.500,0.400,1,0,97.18,Idle
1.64,0.500,0.400,1,0,97.37,Attack
1.98,0.500,0.400,1,0,97.56,Combo
5.04,0.500,0.400,1,1,98.17,Attack
6.46,0.500,0.400,1,0,98.63,Idle
4.88,0.500,0.400,1,0,98.83,Laser
3.20,0.500,0.400,1,0,99.89,Idle
1.59,0.500,0.400,1,0,100.11,Attack
3.41,0.500,0.400,1,0,100.74,Idle
1.78,0.500,0.400,1,0,101.23,Attack
2.78,0.500,0.400,1,0,101.41,Combo
2.97,0.500,0.400,1,1,102.03,Attack
3.81,0.500,0.400,1,0,102.48,Idle
2.45,0.500,0.400,1,0,102.68,Laser
47.37,1.000,1.000,0,1,999.00,Idle
1.63,1.000,1.000,0,0,999.00,Attack
3.19,1.000,1.000,0,0,999.00,Idle
1.59,1.000,1.000,0,0,999.00,Attack
2.96,0.900,1.000,0,0,999.00,Idle
1.62,0.900,1.000,0,0,999.00,Attack
3.82,0.900,1.000,0,0,999.00,Idle
1.63,0.900,1.000,0,0,999.00,Attack
2.97,0.900,1.000,0,0,999.00,Idle
1.61,0.900,1.000,0,0,999.00,Attack
5.11,0.900,1.000,0,0,999.00,Idle
1.58,0.900,1.000,0,0,999.00,Attack
1.04,0.800,1.000,0,0,999.00,Idle
1.05,0.800,1.000,0,0,999.00,Attack
3.38,0.800,1.000,0,0,999.00,Idle
1.91,0.800,1.000,0,0,999.00,Attack
2.93,0.800,1.000,0,0,999.00,Idle
1.68,0.800,1.000,0,0,999.00,Attack
1.29,0.800,0.800,0,0,0.25,Idle
1.34,0.800,0.800,0,0,0.30,Attack
2.24,0.800,0.800,0,0,0.92,Idle
1.84,0.800,0.800,0,0,1.00,Attack
2.96,0.700,0.800,0,0,1.63,Idle
1.66,0.700,0.800,0,0,2.10,Attack
3.33,0.700,0.800,0,0,2.72,Idle
1.65,0.700,0.800,0,0,2.98,Attack
2.59,0.700,0.800,0,0,3.61,Idle
1.70,0.700,0.800,0,0,3.72,Attack
2.92,0.600,0.800,0,0,4.35,Idle
1.84,0.600,0.800,0,0,4.93,Attack
2.07,0.500,0.800,1,0,5.16,Combo
3.97,0.500,0.800,1,1,5.78,Attack
3.68,0.500,0.800,1,1,6.23,Idle
3.44,0.500,0.800,1,1,6.43,Laser
3.71,0.500,0.800,1,1,7.49,Idle
1.91,0.500,0.800,1,1,7.89,Attack
2.74,0.500,0.800,1,1,8.07,Combo
5.80,0.500,0.800,1,1,8.68,Attack
7.39,0.500,0.800,1,1,9.14,Idle
9.52,0.500,0.800,1,0,10.18,Laser
12.39,0.500,0.800,1,0,11.24,Idle
1.64,0.500,0.800,1,0,13.93,Attack
2.24,0.500,0.800,1,0,14.11,Combo
3.37,0.500,0.800,1,1,14.73,Attack
1.60,0.400,0.800,1,0,15.19,Idle
1.78,0.400,0.800,1,0,15.23,Attack
4.14,0.400,0.800,1,0,15.85,Idle
1.62,0.400,0.800,1,0,16.50,Attack
3.67,0.300,0.800,1,0,17.13,Idle
1.74,0.200,0.800,1,0,17.72,Attack
4.15,0.200,0.800,1,0,18.35,Idle
1.75,0.200,0.800,1,0,18.84,Attack
4.11,0.200,0.800,1,0,19.47,Idle
1.70,0.200,0.800,1,0,19.82,Attack
3.41,0.100,0.800,1,0,20.44,Idle
47.37,1.000,1.000,0,1,999.00,Idle
1.81,0.900,1.000,0,1,999.00,Attack
3.84,0.900,1.000,0,0,999.00,Idle
1.87,0.900,1.000,0,0,999.00,Attack
3.58,0.800,1.000,0,0,999.00,Idle
1.79,0.800,1.000,0,0,999.00,Attack
3.01,0.700,1.000,0,0,999.00,Idle
1.88,0.700,1.000,0,0,999.00,Attack
3.25,0.600,1.000,0,0,999.00,Idle
1.83,0.600,1.000,0,0,999.00,Attack
3.59,0.600,1.000,0,0,999.00,Idle
1.86,0.600,1.000,0,0,999.00,Attack
3.02,0.600,1.000,0,0,999.00,Idle
1.88,0.600,1.000,0,0,999.00,Attack
2.60,0.600,1.000,0,0,999.00,Idle
1.84,0.600,1.000,0,0,999.00,Attack
2.96,0.500,1.000,1,0,999.00,Idle
2.53,0.500,1.000,1,0,999.00,Laser
3.46,0.500,1.000,1,0,999.00,Idle
1.53,0.500,1.000,1,0,999.00,Attack
2.85,0.400,0.600,1,0,0.25,Idle
3.23,0.400,0.600,1,0,0.30,Attack
4.08,0.400,0.600,1,0,0.48,Combo
3.69,0.400,0.600,1,1,1.09,Attack
2.39,0.400,0.600,1,1,1.55,Idle
1.84,0.400,0.600,1,1,2.24,Attack
2.03,0.300,0.600,1,0,2.42,Combo
5.12,0.300,0.600,1,1,3.04,Attack
4.60,0.300,0.600,1,1,3.50,Idle
1.87,0.200,0.600,1,0,3.89,Attack
4.50,0.200,0.600,1,0,4.51,Idle
1.83,0.100,0.600,1,0,5.01,Attack
3.79,0.100,0.600,1,0,5.63,Idle
47.37,1.000,1.000,0,1,999.00,Idle
1.39,1.000,1.000,0,1,999.00,Attack
3.11,0.900,1.000,0,1,999.00,Idle
1.85,0.900,1.000,0,1,999.00,Attack
3.42,0.800,1.000,0,1,999.00,Idle
1.85,0.800,1.000,0,1,999.00,Attack
3.08,0.700,1.000,0,1,999.00,Idle
1.85,0.700,1.000,0,1,999.00,Attack
3.45,0.700,1.000,0,1,999.00,Idle
1.58,0.700,1.000,0,1,999.00,Attack
2.38,0.600,0.800,0,1,0.25,Idle
2.50,0.600,0.800,0,1,0.30,Attack
4.49,0.600,0.800,0,0,0.92,Idle
1.38,0.600,0.800,0,0,1.19,Attack
2.47,0.600,0.800,0,0,1.82,Idle
1.75,0.600,0.800,0,0,1.95,Attack
4.83,0.600,0.800,0,0,2.57,Idle
1.58,0.600,0.800,0,0,6.23,Attack
1.41,0.500,0.800,1,0,6.45,Combo
4.52,0.500,0.800,1,1,7.07,Attack
5.40,0.500,0.800,1,1,7.52,Idle
3.41,0.500,0.800,1,1,7.72,Laser
4.25,0.500,0.800,1,1,8.78,Idle
2.01,0.500,0.800,1,1,11.81,Attack
3.03,0.500,0.800,1,1,11.99,Combo
2.88,0.500,0.800,1,1,12.61,Attack
4.76,0.500,0.800,1,0,13.07,Idle
5.21,0.500,0.800,1,0,13.26,Laser
8.86,0.500,0.800,1,0,14.33,Idle
5.09,0.500,0.800,1,0,18.02,Laser
8.62,0.500,0.800,1,0,19.08,Idle
1.65,0.500,0.800,1,0,21.27,Attack
2.38,0.500,0.800,1,0,21.46,Combo
5.93,0.500,0.800,1,1,22.07,Attack
5.89,0.500,0.800,1,0,22.53,Idle
4.31,0.500,0.800,1,0,22.73,Laser
2.39,0.500,0.800,1,0,23.79,Idle
1.59,0.500,0.800,1,0,23.88,Attack
3.40,0.500,0.800,1,0,24.51,Idle
3.64,0.500,0.800,1,0,27.48,Laser
5.50,0.500,0.800,1,0,28.54,Idle
1.60,0.500,0.800,1,0,29.94,Attack
1.21,0.500,0.800,1,0,30.12,Combo
3.93,0.500,0.800,1,1,30.73,Attack
1.62,0.500,0.800,1,0,31.19,Idle
1.96,0.500,0.800,1,0,31.24,Attack
2.75,0.500,0.800,1,0,31.86,Idle
1.29,0.500,0.800,1,0,32.06,Laser
2.35,0.500,0.300,1,0,33.12,Idle
1.58,0.500,0.300,1,0,35.01,Attack
5.08,0.500,0.300,1,0,35.63,Idle
3.96,0.500,0.300,1,0,36.14,Laser
1.66,0.500,0.300,1,0,37.20,Idle
1.52,0.500,0.300,1,0,37.25,Attack
4.74,0.500,0.300,1,0,37.87,Idle
1.60,0.500,0.300,1,0,39.49,Attack
5.01,0.500,0.300,1,0,40.12,Idle
1.58,0.500,0.300,1,0,41.51,Attack
4.99,0.500,0.300,1,0,42.14,Idle
4.92,0.500,0.300,1,0,42.33,Laser
3.47,0.500,0.300,1,0,43.40,Idle
1.61,0.500,0.300,1,0,43.68,Attack
4.48,0.500,0.300,1,0,44.31,Idle
1.66,0.500,0.300,1,0,45.62,Attack
2.51,0.500,0.300,1,0,45.80,Combo
5.99,0.500,0.300,1,1,46.42,Attack
6.10,0.500,0.300,1,1,46.88,Idle
1.88,0.500,0.300,1,1,47.72,Attack
3.18,0.500,0.300,1,0,48.34,Idle
1.83,0.500,0.300,1,0,48.54,Laser
2.34,0.500,0.300,1,0,49.60,Idle
1.68,0.500,0.300,1,0,50.76,Attack
4.73,0.500,0.300,1,0,51.39,Idle
1.58,0.500,0.300,1,0,52.67,Attack
2.21,0.500,0.300,1,0,52.85,Combo
3.17,0.500,0.300,1,1,53.46,Attack
2.54,0.500,0.300,1,1,53.92,Idle
1.61,0.500,0.300,1,1,54.67,Attack
3.85,0.500,0.300,1,0,55.30,Idle
3.34,0.500,0.300,1,0,55.50,Laser
3.75,0.500,0.300,1,0,56.56,Idle
8.58,0.500,0.300,1,0,60.25,Laser
6.85,0.500,0.300,1,0,61.31,Idle
1.66,0.500,0.300,1,0,63.12,Attack
5.11,0.500,0.300,1,0,63.74,Idle
6.74,0.500,0.300,1,0,65.25,Laser
10.57,0.500,0.300,1,0,66.31,Idle
1.65,0.500,0.300,1,0,73.04,Attack
2.41,0.500,0.300,1,0,73.22,Combo
5.95,0.500,0.300,1,1,73.83,Attack
6.98,0.500,0.300,1,1,74.29,Idle
1.59,0.500,0.300,1,1,82.98,Attack
5.09,0.500,0.300,1,0,83.61,Idle
4.87,0.500,0.300,1,0,83.81,Laser
5.48,0.500,0.300,1,0,84.87,Idle
10.84,0.500,0.300,1,0,88.56,Laser
5.45,0.500,0.300,1,0,89.62,Idle
1.93,0.500,0.300,1,0,92.79,Attack
2.93,0.500,0.300,1,0,92.97,Combo
2.89,0.500,0.300,1,1,93.59,Attack
4.03,0.500,0.300,1,0,94.05,Idle
4.02,0.500,0.300,1,0,94.24,Laser
6.17,0.500,0.300,1,0,95.31,Idle
1.61,0.500,0.300,1,0,96.31,Attack
3.49,0.500,0.300,1,0,96.94,Idle
1.73,0.500,0.300,1,0,97.24,Attack
2.34,0.500,0.300,1,0,97.42,Combo
5.42,0.500,0.300,1,1,98.03,Attack
6.97,0.500,0.300,1,1,98.49,Idle
1.73,0.500,0.300,1,1,100.19,Attack
3.32,0.500,0.300,1,0,100.82,Idle
2.06,0.500,0.300,1,0,101.01,Laser
5.68,0.500,0.300,1,0,102.08,Idle
1.87,0.500,0.300,1,0,103.51,Attack
